text,id,like_counts
没有红绿灯也太离谱了，这是哪个大聪明领导想到的政策啊,4685416281937887,14068
哈哈哈同吉林省前天没有红绿灯绝了,4685417774846256,1911
奇幻，难怪都逃离东北，很有穿越的蛮荒感。我之前去锦州出差，市县没落衰败的模样仿佛是不再挣扎的垂暮老人，门市店铺在下午四点的黄色夕阳下大部分都已拉闸，随着阳光看去都是漂浮的尘土。野蛮暴力疲倦百无聊赖是东北十八线的普遍现状。大连沈阳哈尔滨还有一些生气，其他的都在吸食人气。,4685736052262511,1217
下载网上国网绑定自家电表户号，上面会提前发布停电信息,4685428639144928,814
整个城市就像一部剧本杀的场景,4685734705370785,638
人在蛟河一天停两次，8点停到下午3点多，下午5点多又停到11点多，停电等于停水停网停气，而且现在晚上不到10度家里冷的要死电褥子都用不了,4685603629433091,358
很难想象到时候过年吃饭突然拉闸的样子，不知道是哪个啥想出来的。反正我是觉得从管理未成年游戏和动画到停电，就没干过一个阳间事,4685558646046991,8434
这特么不会是哪个计划生育的想效仿以前停电孩子多吧,4685628794994898,4598
看来还是要预备一下现金，没有电都无法电子支付了,4685651104236458,3013
生在经济高速发展的时代的孩子没经历过这种大规模的停电，妈妈说她小时候经常点着蜡烛生活，我隔着岁月感受到了那个年代的冰山一角,4685641432171404,1594
那种住电梯楼的咋办啊？,4685643822925463,541
同磐石我姥家那单元前几天还有小偷，这没灯没监控可咋整,4685595689356408,396
黑龙江疫情这么严重，学生都在家上网课上来就整个限电没有脑子啊疫情疫情控制不住在家上网课没有电没有网让不让我们活了谁想的注意脑瘫啊领导能不能整明白贪污受贿一个顶俩到办事儿的时候整不明白干啥吃的让我们学生活活吧让平民百姓累一天吃口热乎饭吧别回到家摸黑热乎水都喝不上,4685597522789515,268
没红绿灯我不敢过马路了。经常过南环，没红绿灯车根本不让人，尤其大晚上，特别可怕，黑灯瞎火。,4685621807808567,252
弥留之国又好笑又心疼还能串到第三新东京市打使徒去,4685628535211636,186
想知道医院用电怎么解决,4685680280339126,118
所以一切高技术都是建立在有电的基础上的，是建立在太平盛世的基础上的,4685683715213007,70
我们还没来电呢,4685424267888639,53
第三张的模特还挺吓人,4685702350504719,37
让我想起了一个日本的电影生存家族,4685762640216408,6
绝了真的,4685419398299832,32
你这还好的我家街道到了晚上漆黑一片对面过来人像僵尸似的天天点着蜡烛在家呵呵呵,4685685023313900,23
在微博上看到了老家的人，我说街道怎么那么熟悉,4685679357334409,15
限电全国都有，全世界也大把大把，但不限工业用电上来先掐民用电，连交通灯医院都断了，还无计划无通知地掐，后有没有来者不知道，反正前是没古人了。西非黑叔叔和中亚火药桶掐电都有计划和通知的！,4685964063279662,9
竟然刷到了磐石老乡,4685705160166810,8
是怕东北人民看奥特曼吗？,4685756742239394,11
电梯不敢坐，车库不敢停，家里备了好几个充电宝，好几桶水。现在降温了还没供热，正是需要电取暖的时候，真的服了。,4685737079081901,8
好像爱的迫降里北朝鲜的情况,4685726165506279,2
